mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,train_cv_gap
5.300572299957276,0.18123769714620142,0.10603556632995606,0.05201305046187154,balanced,15,sqrt,2,5,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.5777688484254677,0.5642420491438375,0.5419396191159057,0.5974995355343542,0.5814442601446211,0.5725788624728373,0.018627060239738587,1,0.9876817004749698,0.9842636339638295,0.9787829714079387,0.9856249372573248,0.9842620336378153,0.9841230553483756,0.0029487345831197696,0.41154419287553834
13.169999647140504,0.324944191082134,0.09330582618713379,0.035478201397584105,balanced,20,0.5,2,10,300,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.5654523858819427,0.5747369785478191,0.5617785493619154,0.5748445719751314,0.5799542794143874,0.5713533530362392,0.006694949508430216,2,0.9473438714692926,0.9514547066612156,0.9473473445177826,0.9500114241500466,0.9534868690350519,0.9499288431666779,0.0023807915092811808,0.3785754901304387
3.3913906097412108,0.1591849677462654,0.05986113548278808,0.023514092390373012,balanced,15,sqrt,2,5,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.5707529052860294,0.5782493800498131,0.5449610214761894,0.6001880130734671,0.5614698025930027,0.5711242244957002,0.018293881931587597,3,0.9863064794544965,0.982898501935701,0.9801528548121783,0.9842556078616854,0.9828928926704127,0.9833012673468948,0.0020091568864303456,0.4121770428511946
8.357682991027833,0.23954022879660208,0.052063274383544925,0.015986070585226986,balanced,15,0.5,2,5,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.5659522727148247,0.5871306119352846,0.5512367491166078,0.5839543987813467,0.5670211668648177,0.5710590398825763,0.013114056656864489,4,0.989735908425984,0.9856295217148393,0.978793371379939,0.9883643536395752,0.9849420438453838,0.9854930398011442,0.003780321630140465,0.4144339999185679
11.940754556655884,0.22732944949315023,0.06507735252380371,0.007525730954543698,balanced,15,0.5,2,5,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.5794471430607792,0.5812104415361836,0.5429079398118034,0.5835291802848617,0.5676548871650594,0.5709499183717375,0.015052765762556439,5,0.9904216165474924,0.9863138302046089,0.9794794043371976,0.9904147778464383,0.986995638041666,0.9867250533954806,0.004000509880004435,0.4157751350237431
12.05736060142517,0.6576810125435353,0.07995195388793945,0.017074006443449082,balanced,10,0.5,2,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.5830271140005654,0.5614184670988778,0.541296928327645,0.5848415310010392,0.583191222368802,0.570755052559386,0.01708006790235879,6,0.9345025406992009,0.9298299256779772,0.9325125301091646,0.9392626943548106,0.9352617966796519,0.9342738975041609,0.0031230631502003592,0.36351884494477493
3.205762815475464,0.18487114000531968,0.05019302368164062,0.012920602315095203,balanced,20,sqrt,4,10,200,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.5838934183903182,0.5763204339029744,0.5405833144924259,0.5676642616694765,0.5850275426575305,0.5706977942225452,0.01629211142565204,7,0.892778773541943,0.8976144640395998,0.8920304817761755,0.8898631638552741,0.8914291359777083,0.8927432038381402,0.0026176255857739148,0.322045409615595
7.3897374153137205,0.12983561396271745,0.05931301116943359,0.020815880697393336,balanced,10,0.5,2,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.5748676759882185,0.5636488575846075,0.5468210080556317,0.5883284080411023,0.5791399029512712,0.5705611705241662,0.01427718986746202,8,0.9311151530082579,0.9271039944210873,0.9311474375877716,0.9351314877753232,0.9379727218446634,0.9324941589274207,0.0037346845700073415,0.3619329884032545
4.5049032211303714,0.17388275495266672,0.05981898307800293,0.013698990355887538,balanced,20,sqrt,4,10,300,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.5804960204275663,0.5705555166676539,0.5432122031196998,0.5709622058242336,0.5846257295785255,0.5699703351235359,0.014442260979583647,9,0.9023231267248653,0.8996309883745546,0.8920407201141143,0.8919178045299077,0.8900754330258891,0.8951976145538663,0.004845360812892391,0.32522727943033036
11.521962785720826,0.09675649515456027,0.06382861137390136,0.012245758693705588,balanced,15,0.5,2,10,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.567991888400085,0.5722567064284558,0.5418183389321553,0.5909778362910334,0.5766254288837657,0.5699340397870991,0.016045406982957013,10,0.943931039054516,0.9446508089916206,0.9432898834634273,0.9506915132404665,0.9576023578775064,0.9480331205255073,0.005466310581367367,0.37809908073840814
