label,model,dataset,features,n_features,n_samples,mean_kappa,std_kappa,min_kappa,max_kappa,mean_high_recall,std_high_recall,combined_score,kappa_scores,high_recall_scores
XGB_lr01 | OldUp | All,XGB_lr01,OldUp,All,193,3204,0.589289662495873,0.0335428058658793,0.5155152424469753,0.6442011354420114,0.556890243902439,0.0694126640877047,0.5795698369178428,"[0.6086956521739131, 0.5676326530612245, 0.5806972892174685, 0.6442011354420114, 0.5820386614238182, 0.6113378004012173, 0.5662769365570495, 0.5155152424469753, 0.6148269730543017, 0.6016742811807512]","[0.6585365853658537, 0.5853658536585366, 0.5, 0.675, 0.5, 0.525, 0.475, 0.5, 0.625, 0.525]"
XGB_default | OldUp | Top50,XGB_default,OldUp,Top50,50,3204,0.6078699088002372,0.031876654753349554,0.5510026155187445,0.649746887399097,0.5470121951219512,0.07984101263903566,0.5896125946967513,"[0.5718039236822248, 0.5701754385964912, 0.6033754701353718, 0.6266533228746856, 0.6088127025987583, 0.649746887399097, 0.6457128798130152, 0.5510026155187445, 0.6235139609012681, 0.6279018864827153]","[0.6585365853658537, 0.5365853658536586, 0.425, 0.625, 0.475, 0.5, 0.6, 0.45, 0.65, 0.55]"
RF_bal_sub | OldUp | Top50,RF_bal_sub,OldUp,Top50,50,3204,0.5989516138145266,0.031956867174891435,0.5522265207012922,0.653878802814973,0.5470121951219512,0.06917894551149283,0.5833697882067539,"[0.5624079829870767, 0.6043007807149705, 0.6116073249316856, 0.6247094169306271, 0.5655125594025798, 0.653878802814973, 0.5741294624482067, 0.5522265207012922, 0.6296602463420683, 0.6110830408717858]","[0.6097560975609756, 0.5853658536585366, 0.475, 0.6, 0.425, 0.625, 0.55, 0.5, 0.625, 0.475]"
XGB_default | OldUp | Top75,XGB_default,OldUp,Top75,75,3204,0.592222839626847,0.025482972974693537,0.5326681862229927,0.6252290900204993,0.5444512195121951,0.07576177184943352,0.5778913535924514,"[0.5727498675793505, 0.5795276235178539, 0.5870012730572334, 0.6252290900204993, 0.5918759171135095, 0.6048244350224344, 0.6219260887484545, 0.5326681862229927, 0.6051170252149233, 0.6013088897712181]","[0.6341463414634146, 0.5853658536585366, 0.45, 0.65, 0.5, 0.475, 0.55, 0.475, 0.65, 0.475]"
RF_bal_sub | OldUp | Top30,RF_bal_sub,OldUp,Top30,30,3204,0.5886466985001981,0.03255015361936659,0.5409976712832455,0.626142533159233,0.544451219512195,0.07903081218260079,0.5753880548037972,"[0.5409976712832455, 0.588674718503776, 0.5953836353532752, 0.6207580222436481, 0.5484415422713501, 0.6248739129249475, 0.5501033769813921, 0.5697331412499143, 0.626142533159233, 0.6213584310311999]","[0.6097560975609756, 0.6097560975609756, 0.525, 0.625, 0.35, 0.575, 0.475, 0.525, 0.6, 0.55]"
XGB_deep | OldUp | Top50,XGB_deep,OldUp,Top50,50,3204,0.6084584574565465,0.03432122508672146,0.5364283664293231,0.6522791670105361,0.5370731707317074,0.07875292125116318,0.5870428714390947,"[0.5724014190759694, 0.5744683758814848, 0.6111103548725209, 0.6422085689430187, 0.6164866651972669, 0.6522791670105361, 0.6217026131661787, 0.5364283664293231, 0.6270140555365101, 0.630484988452656]","[0.6097560975609756, 0.5609756097560976, 0.4, 0.625, 0.475, 0.475, 0.575, 0.45, 0.65, 0.55]"
XGB_deep | OldUp | Top75,XGB_deep,OldUp,Top75,75,3204,0.5939880918550922,0.025401731316193197,0.5394168688571781,0.6322873624350529,0.5320121951219512,0.08274111647627576,0.5753953228351498,"[0.5891731452612088, 0.5998328698439661, 0.559593023255814, 0.6322873624350529, 0.5944959435820443, 0.6045368412380194, 0.6165553336547069, 0.5394168688571781, 0.598975404192029, 0.6050141262309021]","[0.6097560975609756, 0.5853658536585366, 0.375, 0.65, 0.5, 0.45, 0.55, 0.475, 0.625, 0.5]"
XGB_default | OldUp | All,XGB_default,OldUp,All,193,3204,0.590490061626066,0.020212192022134916,0.5531949843946777,0.625122216186855,0.5245731707317074,0.07343045875150768,0.5707149943577584,"[0.5987227393165296, 0.5632472994145296, 0.5917964258174488, 0.625122216186855, 0.5893019789682867, 0.6106310838893142, 0.5815899581589958, 0.5531949843946777, 0.587164777250144, 0.6041291528638781]","[0.6341463414634146, 0.5365853658536586, 0.45, 0.65, 0.5, 0.5, 0.45, 0.475, 0.6, 0.45]"
RF_bal_sub | OldUp | Top75,RF_bal_sub,OldUp,Top75,75,3204,0.5908431942677294,0.02918757771277266,0.5286603160618908,0.6376383864211299,0.5245731707317073,0.06830904094159498,0.5709621872069227,"[0.5775215585198996, 0.5999972612869213, 0.5887588077358157, 0.6376383864211299, 0.5742793791574279, 0.6167928423950447, 0.5668568113700087, 0.5286603160618908, 0.6119020383412119, 0.6060245413879427]","[0.5853658536585366, 0.5853658536585366, 0.475, 0.625, 0.425, 0.525, 0.5, 0.425, 0.6, 0.5]"
GBM_default | OldUp | Top30,GBM_default,OldUp,Top30,30,3204,0.6048378064070614,0.02458216785856312,0.5630284555649043,0.6398572604995882,0.5223780487804878,0.058825538095143876,0.5800998791190893,"[0.5653797234644894, 0.5983030569727306, 0.6336462819798644, 0.6279910014315904, 0.6129193721062803, 0.6398572604995882, 0.6060476118019725, 0.5630284555649043, 0.6008813869371803, 0.6003239133120136]","[0.5365853658536586, 0.5121951219512195, 0.45, 0.625, 0.45, 0.525, 0.475, 0.475, 0.575, 0.6]"
RF_1000trees | OldUp | Top30,RF_1000trees,OldUp,Top30,30,3204,0.604701442920118,0.02492779424295863,0.5606041692672575,0.6349793164108132,0.5220731707317073,0.07220954041913803,0.5799129612635947,"[0.5785903782512376, 0.6250721411493116, 0.6050688976377953, 0.627848929988952, 0.5606041692672575, 0.6349793164108132, 0.5936788351390518, 0.5760302520080598, 0.6142708694146173, 0.630870639934084]","[0.6097560975609756, 0.5609756097560976, 0.45, 0.6, 0.375, 0.575, 0.525, 0.475, 0.575, 0.475]"
ExtraTrees_tuned | OldUp | All,ExtraTrees_tuned,OldUp,All,193,3204,0.5920040495586945,0.035730888413670406,0.5175590257126654,0.6440049443757725,0.5148780487804878,0.08164140042244944,0.5688662493252324,"[0.5990088816286189, 0.5924372067347503, 0.5578877778695976, 0.6113908378043748, 0.5836947094535994, 0.6440049443757725, 0.5661317100166021, 0.5175590257126654, 0.615283631589857, 0.6326417704011065]","[0.5609756097560976, 0.4878048780487805, 0.35, 0.575, 0.5, 0.6, 0.525, 0.4, 0.625, 0.525]"
GBM_deep | OldUp | Top50,GBM_deep,OldUp,Top50,50,3204,0.6138067573814285,0.03168070574151777,0.5688695197899338,0.6725202676968278,0.5095731707317073,0.08677112073961067,0.5825366813865122,"[0.5883773276038469, 0.584546117941869, 0.6212805070445722, 0.6725202676968278, 0.6284572960869144, 0.6603300202644022, 0.5936732271510199, 0.5688695197899338, 0.6000555478405777, 0.6199577423943214]","[0.6341463414634146, 0.5365853658536586, 0.35, 0.675, 0.45, 0.5, 0.5, 0.475, 0.5, 0.475]"
GBM_deep | OldUp | Top30,GBM_deep,OldUp,Top30,30,3204,0.6007796385244346,0.01972138641254542,0.559228650137741,0.639924984371744,0.5020731707317073,0.08487147787853896,0.5711676981866164,"[0.5958451369216242, 0.6033718200414613, 0.5999205620916823, 0.5986136595310907, 0.639924984371744, 0.6178029159001674, 0.5965138351969628, 0.559228650137741, 0.6099831029611368, 0.5865917180907354]","[0.5853658536585366, 0.5853658536585366, 0.35, 0.625, 0.425, 0.525, 0.4, 0.475, 0.55, 0.5]"
RF_1000trees | OldUp | Top50,RF_1000trees,OldUp,Top50,50,3204,0.6045825991024893,0.029114419920749323,0.5654764379044215,0.6555911248482174,0.4972560975609756,0.0753231438299723,0.5723846486400352,"[0.5860337494855261, 0.5983748556343838, 0.6007298970763112, 0.6088635150121164, 0.5856134341451189, 0.6555911248482174, 0.570707419957126, 0.5654764379044215, 0.649302906291184, 0.6251326506704888]","[0.5853658536585366, 0.5121951219512195, 0.4, 0.575, 0.425, 0.55, 0.5, 0.425, 0.6, 0.4]"
GBM_default | OldUp | Top50,GBM_default,OldUp,Top50,50,3204,0.5962270503717028,0.024796370076116587,0.5419637204437227,0.6292311512041711,0.495,0.07741251706881265,0.5658589352601919,"[0.5649334647609661, 0.5872381610784652, 0.6076926245828927, 0.6196475266942689, 0.5963068733191006, 0.6292311512041711, 0.5974620201545459, 0.5419637204437227, 0.6140034662045061, 0.6037914952743881]","[0.5365853658536586, 0.4634146341463415, 0.4, 0.65, 0.375, 0.475, 0.5, 0.45, 0.575, 0.525]"
ExtraTrees | OldUp | Top30,ExtraTrees,OldUp,Top30,30,3204,0.6142267434511778,0.027099799301711823,0.5743973399833748,0.6664151978602291,0.4923780487804878,0.08959981506126279,0.5776721350499707,"[0.5794837143881519, 0.6315192586958025, 0.5963045370997389, 0.6333902083276, 0.6117750414859645, 0.6664151978602291, 0.5955836400249983, 0.5743973399833748, 0.6173526140155728, 0.6360458826303452]","[0.5365853658536586, 0.5121951219512195, 0.35, 0.55, 0.325, 0.625, 0.5, 0.5, 0.575, 0.45]"
